# Re_Psi, Im_Psi, Time
-4.000000000000000000e+00 -3.212589659050364482e-04 9.658080319031184051e-05
-3.979949874686716793e+00 -3.552788288318476598e-04 7.640727689107297907e-05
-3.959899749373433586e+00 -3.901059718910634164e-04 5.165056246427613188e-05
-3.939849624060150379e+00 -4.253786242164969244e-04 2.189876171563974070e-05
-3.919799498746867172e+00 -4.606703564302353079e-04 -1.325496464975727723e-05
-3.899749373433583965e+00 -4.954861562580579852e-04 -5.420574065231867133e-05
-3.879699248120300759e+00 -5.292589145125192133e-04 -1.013294848682622313e-04
-3.859649122807017552e+00 -5.613464339545539339e-04 -1.549745757135759575e-04
-3.839598997493734345e+00 -5.910290816533986377e-04 -2.154526727429118980e-04
-3.819548872180451138e+00 -6.175082128237027908e-04 -2.830287074050609627e-04
-3.799498746867167931e+00 -6.399055005081396739e-04 -3.579100711516479622e-04
-3.779448621553884724e+00 -6.572633106605120165e-04 -4.402350448080272183e-04
-3.759398496240601517e+00 -6.685462659238614958e-04 -5.300605306398908098e-04
-3.739348370927318310e+00 -6.726441434375811683e-04 -6.273491675100338659e-04
-3.719298245614035103e+00 -6.683762520885753143e-04 -7.319559298078461224e-04
-3.699248120300751896e+00 -6.544974324841200007e-04 -8.436143323044860290e-04
-3.679197994987468689e+00 -6.297058183104025557e-04 -9.619223855563401471e-04
-3.659147869674185483e+00 -5.926524903999955043e-04 -1.086328469725585154e-03
-3.639097744360902276e+00 -5.419531445250373031e-04 -1.216117318445806249e-03
-3.619047619047619069e+00 -4.762018804392510632e-04 -1.350396328327037017e-03
-3.598997493734335862e+00 -3.939872028133432078e-04 -1.488082433520928954e-03
-3.578947368421052655e+00 -2.939103042763001566e-04 -1.627889808064132953e-03
-3.558897243107769448e+00 -1.746056766572831695e-04 -1.768318681057523371e-03
-3.538847117794486241e+00 -3.476406862926968786e-05 -1.907645570653886905e-03
-3.518796992481203034e+00 1.268422237543265934e-04 -2.043915261815582550e-03
-3.498746867167919827e+00 3.113317826499989861e-04 -2.174934869334315367e-03
-3.478696741854636620e+00 5.196842983963778856e-04 -2.298270341119394277e-03
-3.458646616541353414e+00 7.527087349361905088e-04 -2.411245766681471142e-03
-3.438596491228070207e+00 1.011009607926564770e-03 -2.510945861475319570e-03
-3.418546365914787000e+00 1.294951602005535614e-03 -2.594221998723774975e-03
-3.398496240601503793e+00 1.604622805587069267e-03 -2.657702155935586560e-03
-3.378446115288220586e+00 1.939796895666265472e-03 -2.697805132978548914e-03
-3.358395989974937379e+00 2.299894660870263705e-03 -2.710759381727004692e-03
-3.338345864661654172e+00 2.683945307737791927e-03 -2.692626763459585962e-03
-3.318295739348370965e+00 3.090548052209058510e-03 -2.639331518878542965e-03
-3.298245614035087758e+00 3.517834554726932857e-03 -2.546694696460421840e-03
-3.278195488721804551e+00 3.963432812272907162e-03 -2.410474237509866065e-03
-3.258145363408521344e+00 4.424433173089877686e-03 -2.226410860546319814e-03
-3.238095238095238138e+00 4.897357188707158158e-03 -1.990279823384441971e-03
-3.218045112781954931e+00 5.378130062045588348e-03 -1.697948568468274529e-03
-3.197994987468671724e+00 5.862057488653435802e-03 -1.345440175813917508e-03
-3.177944862155388517e+00 6.343807719277352875e-03 -9.290024585760775630e-04
-3.157894736842105310e+00 6.817399694753236740e-03 -4.451824392063734401e-04
-3.137844611528822103e+00 7.276198117346908446e-03 1.090941599938197024e-04
-3.117794486215538896e+00 7.712916324934753799e-03 7.364388886417705870e-04
-3.097744360902255689e+00 8.119627824571122240e-03 1.438912595007880513e-03
-3.077694235588972482e+00 8.487787318881305151e-03 2.217934220573803111e-03
-3.057644110275689275e+00 8.808262021262808217e-03 3.074187198456904049e-03
-3.037593984962406068e+00 9.071374003096443345e-03 4.007524416406860537e-03
-3.017543859649122862e+00 9.266954247215915264e-03 5.016872829548284576e-03
-2.997493734335839655e+00 9.384408996071595330e-03 6.100138930472879042e-03
-2.977443609022556448e+00 9.412798879848194300e-03 7.254116402673837539e-03
-2.957393483709273241e+00 9.340931188964358284e-03 8.474397395518081660e-03
-2.937343358395990034e+00 9.157465516841043970e-03 9.755288962699382865e-03
-2.917293233082706827e+00 8.851032842781441853e-03 1.108973629903629160e-02
-2.897243107769423620e+00 8.410367951750047019e-03 1.246925449012926436e-02
-2.877192982456140413e+00 7.824454898568210942e-03 1.388387055328334577e-02
-2.857142857142857206e+00 7.082685019676441922e-03 1.532207759374099205e-02
-2.837092731829573999e+00 6.175026777603336882e-03 1.677080292518747309e-02
-2.817042606516290792e+00 5.092206493426566262e-03 1.821539200529360275e-02
-2.796992481203007586e+00 3.825898782961634648e-03 1.963961001346593502e-02
-2.776942355889724379e+00 2.368925265668977726e-03 2.102566284686381223e-02
-2.756892230576441172e+00 7.154598641725308386e-04 2.235423923020329190e-02
-2.736842105263157965e+00 -1.138761239990466372e-03 2.360457552324764230e-02
-2.716791979949874758e+00 -3.196227178727964122e-03 2.475454466583440136e-02
-2.696741854636591551e+00 -5.457439926064983939e-03 2.578077052281999362e-02
-2.676691729323308344e+00 -7.920704445068876484e-03 2.665876867984701484e-02
-2.656641604010025137e+00 -1.058192433431643341e-02 2.736311449521671921e-02
-2.636591478696741930e+00 -1.343440605572446787e-02 2.786763893373378140e-02
-2.616541353383458723e+00 -1.646867500273369381e-02 2.814565239606311303e-02
-2.596491228070175517e+00 -1.967230681702781050e-02 2.817019641334446434e-02
-2.576441102756892310e+00 -2.302977747857693283e-02 2.791432270358355783e-02
-2.556390977443609103e+00 -2.652233577328299077e-02 2.735139868632427765e-02
-2.536340852130325896e+00 -3.012790178048896719e-02 2.645543812857030844e-02
-2.516290726817042689e+00 -3.382099501493608662e-02 2.520145515176006393e-02
-2.496240601503759482e+00 -3.757269580056894070e-02 2.356583937131739165e-02
-2.476190476190476275e+00 -4.135064334344611126e-02 2.152674947201789826e-02
-2.456140350877193068e+00 -4.511907380494350334e-02 1.906452204981798695e-02
-2.436090225563909861e+00 -4.883890145203510780e-02 1.616209208011968809e-02
-2.416040100250626654e+00 -5.246784567694367379e-02 1.280542091040588054e-02
-2.395989974937343447e+00 -5.596060633284112573e-02 8.983927228918522218e-03
-2.375939849624060241e+00 -5.926908942531820129e-02 4.690916038062998769e-03
-2.355889724310777034e+00 -6.234268473167077496e-02 -7.599973073436734551e-05
-2.335839598997493827e+00 -6.512859639323656524e-02 -5.314490676975576131e-03
-2.315789473684210620e+00 -6.757222694259999718e-02 -1.101712148812375620e-02
-2.295739348370927413e+00 -6.961761459102563943e-02 -1.717098686708910457e-02
-2.275689223057644206e+00 -7.120792291657615514e-02 -2.375737929192338338e-02
-2.255639097744360999e+00 -7.228598136566805055e-02 -3.075149518767446299e-02
